,name,country,teams,total_maps,total_rounds,kd_diff,kd,rating
399,raafa,Brazil,['W7M'],605,15881,1010,1.1,1.04
400,STOMP,Poland,['Izako Boars'],771,20635,1317,1.1,1.04
401,MarKE,Mexico,['Extra Salt'],795,20430,1105,1.08,1.04
402,n0rb3r7,Russia,['K23'],867,23264,671,1.04,1.04
403,Kjaerbye,Denmark,['North'],1519,39947,2110,1.08,1.04
404,Lucky,France,['DBL PONEY'],989,26323,1447,1.09,1.04
405,fnx,Brazil,['Luminosity'],605,15482,852,1.08,1.04
406,malta,Australia,['Renegades'],910,23211,1301,1.09,1.04
407,Aunkere,Russia,['NAVI Junior'],290,7533,262,1.05,1.04
408,stavn,Denmark,['Heroic'],989,26338,1131,1.06,1.04
409,DubsteP,Philippines,['Mineski'],189,4824,232,1.07,1.04
410,smiley,Kazakhstan,['100PG'],301,8122,482,1.09,1.04
411,mawth,Brazil,['WePlayGames'],222,5774,218,1.06,1.04
412,iM,Romania,['GamerLegion'],561,14978,449,1.04,1.04
413,oliff,Australia,['FURY'],120,3121,99,1.05,1.04
414,PureR,United States,['Thunder Logic'],171,4471,98,1.03,1.04
415,Geniuss,Thailand,['Signature'],396,10099,326,1.05,1.04
416,zewsy,New Zealand,['Tainted Minds'],618,15666,667,1.06,1.04
417,Reality,Thailand,['Signature'],365,9318,475,1.08,1.04
418,Chuti,Mexico,['QuetzaL'],134,3524,104,1.04,1.04
419,Bubzkji,Denmark,['Tricked'],796,21077,994,1.07,1.04
420,kobruh,United States,['Recon 5'],239,6319,199,1.05,1.04
421,Bwills,United States,['Triumph'],567,14711,633,1.06,1.04
422,sjuush,Denmark,['Heroic'],690,18199,908,1.08,1.04
423,Snakes,United States,['Spacestation'],403,10328,461,1.07,1.04
424,Hiko,United States,['Liquid'],937,24398,1532,1.1,1.04
425,Kntz,Thailand,['Alpha Red'],467,12011,641,1.08,1.04
426,takbok,South Africa,['Big 5'],148,3700,228,1.1,1.04
427,deStiny,Australia,['Ground Zero'],262,6778,94,1.02,1.04
428,Snax,Poland,['Virtus.pro'],2024,53382,2703,1.08,1.04
429,shadow,Sweden,['Rogue Academy'],199,5204,300,1.09,1.04
430,buue,Israel,['Smoke Criminals'],152,4015,156,1.06,1.04
431,HSK,Korea,['MVP PK'],540,13851,845,1.1,1.04
432,KAB0M,Sweden,['DenDD'],235,6154,320,1.08,1.04
433,IyeN,Australia,['Corvidae'],352,9102,239,1.04,1.04
434,desh,Brazil,['Jaguares'],109,2862,114,1.06,1.04
435,oBo,United States,['Evil Geniuses'],338,9084,370,1.06,1.04
436,rigoN,Switzerland,['c0ntact'],182,4825,49,1.01,1.04
437,sam_A,Colombia,['Vault'],250,6314,263,1.06,1.04
438,eraa,Sweden,['GamerLegion'],346,9384,406,1.06,1.04
439,L0NER,United States,['Big Frames'],169,4235,175,1.06,1.04
440,Delpan,Sweden,['Lemondogs'],154,3996,146,1.05,1.04
441,ANDROID,Canada,['Complexity'],835,21741,1036,1.07,1.04
442,DiMKE,Serbia,['ONYX'],532,13913,536,1.06,1.04
443,LOVEYY,China,['Flash'],708,17977,699,1.06,1.04
444,JUST,Portugal,['SAW'],686,18088,719,1.06,1.04
445,stax,Korea,['MVP PK'],243,6188,318,1.08,1.04
446,dEE,Serbia,['4glory'],392,10335,493,1.07,1.04
447,Dodz,Estonia,['WASD'],158,4055,110,1.04,1.04
448,COLON,Denmark,['Playing Ducks'],130,3318,92,1.04,1.04
"449,JonY BoY,Argentina,""['Furious', 'Furious', 'Gale Force', 'Miami Flamingos', 'Isurus']"",414,10643,414,1.06,1.04"
450,points,Colombia,['Infinity'],161,3999,148,1.05,1.04
451,land1n,Brazil,['paiN'],728,19045,1160,1.1,1.04
452,PLAYER1,Canada,['FRENCH CANADIANS'],148,3886,166,1.06,1.04
453,dobu,Mongolia,['5POWER'],719,18826,646,1.05,1.04
454,4sh0t,United States,['Freedom 35'],144,3742,191,1.08,1.03
455,tconnors,United States,['Third Impact'],195,5080,235,1.07,1.03
456,Davidp,Belgium,['3DMAX'],774,20539,1009,1.08,1.03
457,tb,China,['VG.CyberZen'],619,15737,708,1.07,1.03
458,emilio,Sweden,['dreamchasers'],152,3887,121,1.05,1.03
459,tarik,United States,['CLG'],1429,37112,1323,1.05,1.03
460,Zyphon,Denmark,['Copenhagen Flames'],185,4874,197,1.06,1.03
461,jkaem,Norway,['Renegades'],1166,30745,837,1.04,1.03
462,Relaxa,Sweden,['Apeks'],1169,31162,2001,1.11,1.03
463,rAge,Ukraine,['Hard Legion'],380,10128,685,1.11,1.03
464,shushan,Israel,['Aequus'],110,2916,115,1.06,1.03
465,afro,France,['DBL PONEY'],356,9422,408,1.07,1.03
466,juho,Finland,['ENCE'],750,19740,298,1.02,1.03
467,waffe,Australia,['Funky Monkeys'],213,5440,197,1.05,1.03
468,Patsi,Russia,['Spirit Academy'],407,10936,314,1.04,1.03
469,kressy,Germany,['Sprout'],1045,27972,1243,1.07,1.03
470,Plopski,Sweden,['NIP'],864,22976,971,1.06,1.03
471,captainMo,China,['TYLOO'],802,20665,677,1.05,1.03
472,NK4Y,Bulgaria,['Outlaws'],480,12325,429,1.05,1.03
473,Excali,India,['Entity'],138,3439,140,1.06,1.03
474,sLowi,Finland,['HAVU'],1032,27708,978,1.05,1.03
475,Blytz,Romania,['Nexus'],163,4245,77,1.03,1.03
476,WolfY,United States,['Lyngby Vikings'],321,8491,425,1.08,1.03
477,Subroza,Canada,['Ghost'],623,16275,375,1.03,1.03
478,dipparn,Sweden,['Manatee'],191,5044,192,1.06,1.03
479,Szejn,Poland,['mouz NXT'],387,10427,214,1.03,1.03
480,zedzke,Australia,['AVANT'],136,3443,125,1.05,1.03
481,LEEROY,Chile,['Rejected'],253,6585,147,1.03,1.03
482,DaY,Norway,['Temp.no'],113,2909,105,1.05,1.03
483,Maluk3,Brazil,['TeamOne'],878,22846,1127,1.08,1.03
484,USTILO,Australia,['ORDER'],1016,26203,748,1.04,1.03
485,HECTOz,Denmark,['Tricked'],354,9307,291,1.05,1.03
486,Xyp9x,Denmark,['Astralis'],1805,46938,2672,1.09,1.03
487,LoWkii,France,['Limitless'],114,2991,77,1.04,1.03
488,phzy,Sweden,['Young Ninjas'],299,8011,450,1.09,1.03
489,flamie,Russia,['Natus Vincere'],1500,39559,1497,1.06,1.03
490,yam,Australia,['Renegades'],547,14003,650,1.07,1.03
491,AiyvaN,Ukraine,['pro100'],692,18003,613,1.05,1.03
492,c0llins,Serbia,['4glory'],187,4917,135,1.04,1.03
493,snedker,Denmark,['Tricked'],271,7016,359,1.08,1.03
494,sperr,Estonia,['WASD'],199,5114,141,1.04,1.03
495,KalubeR,Bulgaria,['SKADE'],221,5772,207,1.05,1.03
496,alex,Spain,['Movistar Riders'],1141,30223,1276,1.06,1.03
497,Krad,Russia,['Entropiq'],913,24324,684,1.04,1.03
498,rain,Norway,['FaZe'],1467,38773,847,1.03,1.03
499,znajder,Sweden,['GODSENT'],1050,27577,1070,1.06,1.03
500,RIKO,United States,['Monstars'],399,10376,181,1.02,1.03
501,DEV7L,Czech Republic,['eXtatus'],549,14256,582,1.06,1.03
502,Dirty,United States,['Taboo'],209,5589,149,1.04,1.03
503,REZ,Sweden,['NIP'],1193,31447,1064,1.05,1.03
504,fl0m,United States,['Mythic'],598,15822,619,1.06,1.03
505,kise,Russia,['SG.pro'],185,4946,214,1.07,1.03
506,Missa,France,['Besiktas'],108,2738,118,1.07,1.03
507,Franke19,China,['ViCi'],170,4384,93,1.03,1.03
508,BORKUM,Philippines,['TNC'],232,5904,163,1.04,1.03
"509,Ayrez,Australia,""['Conspiracy', 'R!OT', 'Skyfire']"",112,2948,-30,0.99,1.03"
510,moxie,Singapore,['BOOT-d[S]'],323,8190,441,1.09,1.03
511,massacRe,South Africa,['Goliath'],116,2986,94,1.05,1.03
512,niko,Denmark,['Heroic'],1148,30315,1125,1.06,1.03
513,Patitek,Poland,['Izako Boars'],377,9918,178,1.03,1.03
514,versa,Australia,['Paradox'],256,6556,214,1.05,1.03
515,Boaster,United Kingdom,['exceL'],147,3865,119,1.05,1.03
516,stfN,Germany,['ALTERNATE aTTaX'],1270,33754,1357,1.06,1.03
517,kolor,Hungary,['GameAgents'],538,14071,343,1.04,1.03
518,ap0c,Australia,['AVANT'],789,20225,531,1.04,1.03
519,ADDICT,New Zealand,['VERTEX'],178,4587,163,1.06,1.03
520,tensai,Australia,['VERTEX'],189,4857,51,1.01,1.03
521,Andyy,Germany,['expert'],256,6715,331,1.08,1.03
522,rochet,Chile,['Rejected'],199,5167,152,1.04,1.03
523,es3tag,Denmark,['Heroic'],1180,30935,1023,1.05,1.03
524,dennis,Sweden,['Apeks'],1546,41068,1156,1.04,1.03
525,shuadapai,China,['5POWER'],549,14214,492,1.05,1.03
526,aizy,Denmark,['North'],1558,41047,1171,1.04,1.03
527,khobra,Sweden,['AliGon'],156,4102,112,1.04,1.03
528,FrostMisty,Indonesia,['Recca'],376,9498,411,1.07,1.03
529,Thomas,United Kingdom,['Endpoint'],824,21882,701,1.05,1.03
530,KENSI,Russia,['forZe'],301,8102,391,1.08,1.03
531,Markoś,Poland,['Wisla Krakow'],591,15848,802,1.08,1.03
532,food,United States,['eUnited'],456,11711,380,1.05,1.03
533,mouz,Poland,['Kinguin'],1605,42632,1817,1.07,1.03
534,DannyG,Australia,['Rooster'],307,7874,205,1.04,1.03
535,kaiG,Brazil,['Bravos'],467,12275,410,1.05,1.03
536,Niffy,Thailand,['Maple'],329,8451,285,1.05,1.03
537,junior,United States,['Triumph'],298,7818,463,1.1,1.03
538,laser,Kazakhstan,['Boca Juniors'],106,2800,59,1.03,1.02
539,pashaBiceps,Poland,['Virtus.pro'],1592,41228,1019,1.04,1.02
540,mindfreak,Indonesia,['BOOM'],127,3271,70,1.03,1.02
541,hoody,Finland,['HAVU'],575,15453,402,1.04,1.02
542,fdeN,United States,['ETHEREAL'],105,2741,104,1.06,1.02
543,bondik,Ukraine,['HellRaisers'],1420,37328,1525,1.06,1.02
544,CyberFocus,Belarus,['Nemiga'],491,12779,320,1.04,1.02
"545,LyGHT,Germany,""['expert', 'DIVIZON', 'EURONICS', 'FriendlyFire']"",225,5921,133,1.03,1.02"
546,iDk,Brazil,['Paquetá'],791,20600,615,1.04,1.02
547,NIO,Slovakia,['eSuba'],128,3467,158,1.07,1.02
548,v1c7oR,Bulgaria,['Fiend'],1772,46172,1306,1.04,1.02
549,F1KU,Poland,['AGO'],446,12140,234,1.03,1.02
550,apEX,France,['Vitality'],1837,48128,881,1.03,1.02
551,AmaNEk,France,['G2'],964,25859,1127,1.07,1.02
552,LuL4,Brazil,['paiN'],106,2798,35,1.02,1.02
553,NBK-,France,['Envy'],2025,52921,1398,1.04,1.02
554,Proxure,Chile,['Andes'],150,3985,42,1.01,1.02
555,HS,Estonia,['Nordavind'],1032,27632,431,1.02,1.02
556,RMN,Brazil,['W7M'],317,8243,186,1.03,1.02
557,max,Uruguay,['9z'],420,11037,370,1.05,1.02
558,shalfey,Russia,['Unique'],175,4663,196,1.06,1.02
559,dukeN,Brazil,['Yeah'],218,5588,126,1.03,1.02
560,stadodo,Portugal,['SAW'],587,15455,605,1.06,1.02
561,Kylar,Poland,['Anonymo'],501,13521,399,1.04,1.02
562,NENO,Macedonia,['Binary Dragons'],623,16084,638,1.06,1.02
563,DeStiNy,Brazil,['Paquetá'],945,24447,447,1.03,1.02
564,disco doplan,Sweden,['Galaxy Racer'],1199,31788,1129,1.05,1.02
565,RCF,Brazil,['Sharks'],602,15787,452,1.04,1.02
566,dragonfly,Denmark,['Fragsters'],507,13234,502,1.06,1.02
567,prd,Brazil,['CNB'],162,4195,139,1.05,1.02
568,Zero,Slovakia,['GamerLegion'],865,22899,1050,1.07,1.02
569,Derek,Philippines,['Bren'],218,5688,137,1.04,1.02
570,jdm64,United States,['Liquid'],823,21321,825,1.06,1.02
571,MaLLby,Brazil,['Santos'],155,4177,124,1.04,1.02
572,Lack1,Kazakhstan,['Entropiq'],663,17821,377,1.03,1.02
573,MonttY,Slovakia,['eXtatus'],522,13451,338,1.04,1.02
574,Polt,Russia,['1WIN'],396,10414,434,1.06,1.02
575,FANAT ROCKA,Russia,['Unique'],465,12150,453,1.06,1.02
576,Nico,Denmark,['Dignitas'],399,10074,547,1.09,1.02
577,peri,Korea,['MVP PK'],107,2702,113,1.06,1.02
578,moojuice,Australia,['Ground Zero'],129,3294,92,1.04,1.02
579,peqexino,Argentina,['Meta'],115,3018,130,1.07,1.02
580,qqGOD,Thailand,['Signature'],584,15180,280,1.03,1.02
581,queztone,Slovakia,['eXtatus'],674,17614,261,1.02,1.02
582,MoeycQ,Australia,['Immunity'],613,15920,410,1.04,1.02
583,yel,Brazil,['MIBR'],917,23734,1084,1.07,1.02
584,STOVVE,Finland,['NYYRIKKI'],156,4093,59,1.02,1.02
585,cxzi,United States,['Triumph'],268,6988,35,1.01,1.02
586,Spongey,United States,['Bad News Bears'],612,15901,772,1.08,1.02
587,Fearoth,France,['Smoke Criminals'],184,4867,154,1.05,1.02
588,nero,United States,['AA'],170,4283,72,1.02,1.02
589,Svedjehed,Sweden,['Lilmix'],299,8099,241,1.04,1.02
590,fleav,Hungary,['Budapest Five'],511,13423,179,1.02,1.02
591,1962,Argentina,['Isurus'],510,13220,84,1.01,1.02
592,Forester,Russia,['Entropiq'],953,25359,696,1.04,1.02
593,TENZKI,Denmark,['Nordavind'],1469,38637,1372,1.05,1.02
594,Dallas,Canada,['RONIN'],186,4849,76,1.02,1.02
595,spaze,Russia,['PiTER'],536,14068,87,1.01,1.02
596,jR,Ukraine,['Vega Squadron'],836,22333,752,1.05,1.02
597,tabz,Sweden,['Galaxy Racer'],305,8191,220,1.04,1.02
598,Monster,China,['CyberZen'],200,5329,134,1.04,1.02
599,b0RUP,Denmark,['Tricked'],1233,32581,537,1.02,1.02
600,Ace,United States,['Rise Nation'],456,11866,570,1.08,1.02
"601,Spargo,Finland,""['KOVA', 'hREDS']"",307,8238,150,1.03,1.02"
602,Lekr0,Sweden,['Dignitas'],1148,30537,808,1.04,1.02
603,Blogg1s,Czech Republic,['eSuba'],117,3211,43,1.02,1.02
604,dimasick,Kazakhstan,['AVANGAR'],585,15322,447,1.04,1.02
605,Jyo,Estonia,['Nemiga'],997,26785,920,1.05,1.02
606,fox,Portugal,['Giants'],1048,27373,540,1.03,1.02
607,ROBO,Belarus,['Nemiga'],667,17746,628,1.05,1.02
608,steel,Canada,['Chaos'],617,16290,261,1.02,1.02
609,FaNg,Canada,['Extra Salt'],440,11422,239,1.03,1.02
610,xfl0ud,Turkey,['9INE'],121,3233,49,1.02,1.02
611,fr0slev,Denmark,['AGF'],602,15734,456,1.04,1.02
612,LETN1,Serbia,['Valiance'],1111,28880,1164,1.06,1.02
613,pava,Brazil,['TeamOne'],173,4364,134,1.05,1.02
614,mar,Bulgaria,['FATE'],589,15597,293,1.03,1.02
615,JDC,Germany,['mouz NXT'],326,8568,131,1.02,1.02
616,Luzuh,United Kingdom,['Endpoint'],297,7752,276,1.05,1.02
617,EasTor,Spain,['Movistar Riders'],434,11506,359,1.05,1.02
618,n0thing,United States,['Cloud9'],813,21021,484,1.03,1.02
619,Rackem,Australia,['Dynasty'],145,3715,47,1.02,1.02
620,SELLTER,Russia,['Unique'],103,2759,64,1.03,1.02
621,ztk,Norway,['Nordavind'],171,4479,123,1.04,1.02
622,SKYTTEN,Sweden,['Orbit'],382,10157,328,1.05,1.02
623,Mystic,Norway,['London Conspiracy'],212,5447,-24,0.99,1.02
624,roseau,Indonesia,['Recca'],412,10376,119,1.02,1.02
625,nephh,Singapore,['HZ'],174,4672,-4,1.0,1.02
626,cardiac,Canada,['CLG Academy'],160,4035,130,1.05,1.02
627,roca,United States,['Splyce'],660,17324,195,1.02,1.02
628,TONI,Germany,['KILLERFISH'],111,2918,12,1.01,1.02
629,bld,Brazil,['Yeah'],328,8579,126,1.02,1.02
630,spaz,Belarus,['Empire'],250,6612,111,1.02,1.02
631,Koshak,Russia,['Invictus'],290,7655,125,1.02,1.02
632,ayaya,China,['Eclipse'],447,11276,169,1.02,1.02
633,Swisher,United States,['Bad News Bears'],388,10164,174,1.02,1.02
634,c4Lypso,Canada,['LiViD'],128,3271,25,1.01,1.02
635,arT,Brazil,['FURIA'],884,22981,249,1.02,1.02
636,chrisJ,Netherlands,['mousesports'],1724,45322,1110,1.04,1.02
637,flickz,Australia,['Chiefs'],461,11606,357,1.05,1.02
638,dangle,United States,['Hysteria'],134,3494,41,1.02,1.01
639,leo_drk,Brazil,['Sharks'],510,13022,138,1.02,1.01
640,hampus,Sweden,['NIP'],1217,32463,317,1.01,1.01
641,aproto,United States,['CLG Academy'],383,10053,85,1.01,1.01
642,Stewie2K,United States,['Liquid'],1412,36892,566,1.02,1.01
643,spyleadeR,Bulgaria,['E-frag.net'],891,23002,163,1.01,1.01
644,bedonka,Australia,['Paradox'],379,9815,123,1.02,1.01
645,ChildKing,China,['Wings Up'],116,3072,45,1.02,1.01
646,darti,Sweden,['Torpedo'],305,7931,160,1.03,1.01
647,NOPEEJ,Portugal,['OFFSET'],294,7817,258,1.05,1.01
648,Tuurtle,Brazil,['Bravos'],556,14708,230,1.02,1.01
649,Voltage,United States,['The Quest'],420,10848,509,1.08,1.01
650,Goofy,Poland,['Wisla Krakow'],914,24750,210,1.01,1.01
651,Crityourface,Poland,['PACT'],225,5968,159,1.04,1.01
652,FASHR,Netherlands,['Lyngby Vikings'],457,12007,108,1.01,1.01
653,vhz,Brazil,['Bulldozer'],165,4259,59,1.02,1.01
654,deco,Argentina,['Isurus'],265,7092,133,1.03,1.01
655,byali,Poland,['Virtus.pro'],1800,47209,1339,1.04,1.01
656,jedqr,Poland,['Wisla Krakow'],623,16923,449,1.04,1.01
657,Nille,Denmark,['Anexis'],177,4369,113,1.04,1.01
658,MRN1,Argentina,['River Plate'],145,3896,-36,0.99,1.01
659,SHOCK,Czech Republic,['Sinners'],467,12562,361,1.04,1.01
660,rAW,Latvia,['Wolsung'],100,2618,19,1.01,1.01
661,KStaar,Australia,['Conspiracy'],162,4207,183,1.07,1.01
662,desi,United States,['Winterfox'],430,10986,99,1.01,1.01
663,333ed2k,China,['Born Of Fire'],198,5012,30,1.01,1.01
664,reatz,Poland,['PRIDE'],1406,37757,808,1.03,1.01
665,NOFEAR,Hungary,['Rock'],132,3432,77,1.03,1.01
666,Nodios,Denmark,['Copenhagen Flames'],650,17405,469,1.04,1.01
667,HUGHMUNGUS,Australia,['Chiefs'],719,18584,453,1.04,1.01
668,Tio,Chile,['Hafnet'],232,6076,239,1.06,1.01
669,GruBy,Poland,['AGO'],1558,41368,687,1.02,1.01
670,just9n,United States,['Method'],236,6213,82,1.02,1.01
671,kreaz,Sweden,['Apeks'],501,13263,379,1.04,1.01
672,Maikelele,Sweden,['NoChance'],1067,28134,945,1.05,1.01
673,mitch,United States,['Selfless'],807,20719,632,1.05,1.01
674,tiburci0,Brazil,['DETONA'],362,9487,412,1.07,1.01
675,oKKo,Czech Republic,['eSuba'],121,3118,0,1.0,1.01
676,HackeM,South Africa,['Sinister5'],106,2733,90,1.05,1.01
677,mirbit,Germany,['ALTERNATE aTTaX'],857,22933,977,1.07,1.01
678,xCeeD,United States,['The Quest'],311,8089,116,1.02,1.01
679,rilax,Netherlands,['Lyngby Vikings'],289,7713,172,1.03,1.01
680,Noobster,Australia,['Ground Zero'],496,12790,203,1.02,1.01
681,notaN,Denmark,['Singularity'],243,6456,69,1.02,1.01
682,tatazin,Brazil,['paiN'],730,19147,913,1.08,1.01
683,gump,Australia,['Chiefs'],156,4134,98,1.04,1.01
684,battery,Canada,['Swedish Canadians'],106,2846,50,1.03,1.01
685,stonde,Finland,['ENCE'],219,5665,198,1.06,1.01
686,Lucaozy,Brazil,['Sharks'],304,8176,220,1.04,1.01
687,PlesseN,Sweden,['Galaxy Racer'],1088,29117,134,1.01,1.01
688,Viva,China,['Invictus'],581,15407,458,1.05,1.01
689,TRAVIS,Russia,['1WIN'],301,7917,97,1.02,1.01
690,bubble,Bulgaria,['Windigo'],1923,50230,1596,1.05,1.01
691,ckay,Denmark,['Ambush'],101,2724,24,1.01,1.01
692,delboNi,Brazil,['Imperial'],447,11520,227,1.03,1.01
693,byr9,Ukraine,['EC Kyiv'],137,3651,37,1.01,1.01
694,tweiss,United States,['Recon 5'],323,8583,8,1.0,1.01
695,pan1K,Australia,['Ground Zero'],325,8476,43,1.01,1.01
696,cENTRYZ,Norway,['Temp.no'],162,4221,131,1.05,1.01
697,MAKKA,United States,['RONIN'],240,6369,136,1.03,1.01
698,Butters,Lithuania,['GameplayDNA'],242,6193,45,1.01,1.01
699,sutecas,Brazil,['INTZ'],116,3068,36,1.02,1.01
700,nJ,Romania,['Nexus'],132,3372,28,1.01,1.01
701,Friis,Denmark,['SK'],938,24254,747,1.05,1.01
702,dazzLe,United States,['eUnited'],690,17971,-8,1.0,1.01
703,MINISE,Poland,['PACT'],1794,47820,711,1.02,1.01
704,Spitfire,Sweden,['Acer'],212,5599,78,1.02,1.01
705,Tsogoo,Mongolia,['Mazaalai'],458,11694,170,1.02,1.01
706,rate,Mongolia,['Renewal'],241,6311,78,1.02,1.01
707,kalinka,Lithuania,['HellRaisers'],855,22891,157,1.01,1.01
708,obj,Portugal,['eXploit'],377,9916,348,1.06,1.01
709,Jinxx,Australia,['Genuine'],400,10511,283,1.04,1.01
710,hiji,Russia,['WINside'],143,3735,66,1.03,1.01
711,to1nou,Belgium,['LDLC'],850,22377,520,1.04,1.01
712,Kas9k,Russia,['DreamEaters'],137,3670,87,1.04,1.01
713,DickStacy,Australia,['Grayhound'],624,15708,346,1.03,1.01
714,innocent,Poland,['Anonymo'],1599,42011,621,1.02,1.01
715,rtA,Denmark,['Fragsters'],222,5793,149,1.04,1.01
716,kioShiMa,France,['Envy'],1494,39222,1293,1.05,1.01
717,DESPE,Turkey,['Space Soldiers'],468,12127,320,1.04,1.01
718,kamil,Poland,['PRIDE'],227,5987,-98,0.98,1.01
719,j3kie,Ukraine,['Akuma'],114,2983,10,1.0,1.01
720,speed4k,Russia,['DreamEaters'],766,20555,569,1.04,1.01
721,grux,Sweden,['Red Reserve'],349,9303,152,1.02,1.01
722,HexT,Canada,['RBG'],261,6899,63,1.01,1.01
723,FugLy,United States,['NRG'],1083,28153,621,1.03,1.01
724,emagine,Australia,['ORDER'],751,18931,487,1.04,1.01
725,813,China,['Aster'],156,3937,-4,1.0,1.01
726,Nifty,United States,['Renegades'],865,22686,310,1.02,1.01
727,RaZ,New Zealand,['Animal Squad'],338,8686,96,1.02,1.01
728,SZPERO,Poland,['Wisla Krakow'],1864,49189,1082,1.03,1.01
729,shokz,Estonia,['Movistar Riders'],412,10972,112,1.02,1.01
730,DeathZz,Spain,['Movistar Riders'],359,9627,151,1.02,1.01
731,Stevie,China,['5POWER'],158,4111,-9,1.0,1.01
732,nitr0,United States,['Liquid'],1323,34476,676,1.03,1.00
733,SasuKe,Turkey,['DarkPassage'],314,8227,-32,0.99,1.00
734,weber,United Kingdom,['FMESPORTS'],243,6254,114,1.03,1.00
735,LeoGOD,Brazil,['C4'],243,6383,74,1.02,1.00
736,Ayeon,China,['Flash'],126,3218,-9,1.0,1.00
737,Pechyn,Czech Republic,['eSuba'],124,3307,30,1.01,1.00
738,Doom,Australia,['PC419'],148,3845,-54,0.98,1.00
739,pounh,Lithuania,['Playing Ducks'],401,10552,91,1.01,1.00
740,mikeS,Netherlands,['PENTA'],306,8077,183,1.04,1.00
741,adrnking,Indonesia,['BTRG'],111,2898,40,1.02,1.00
742,zqkS,Brazil,['Imperial'],683,17600,616,1.06,1.00
743,JonahP,Canada,['Final Feature'],236,6098,10,1.0,1.00
744,abr,Brazil,['Keyd'],167,4349,51,1.02,1.00
745,b0denmaster,Sweden,['Lilmix'],377,10110,170,1.03,1.00
"746,SP1NT,Russia,[""""eL'quvet""""],150,4007,39,1.01,1.00"
747,veta,Thailand,['Beyond'],261,6593,115,1.03,1.00
748,rooRoooo,United States,['Splyce'],149,3752,-36,0.99,1.00
749,lukjjE,Lithuania,['Playing Ducks'],285,7451,144,1.03,1.00
750,truth,Norway,['Apeks'],426,11400,109,1.01,1.00
751,realziN,Brazil,['Sharks'],455,11941,195,1.02,1.00
752,ShoT_UP,United States,['BLITZKRIEG'],183,4934,-17,1.0,1.00
753,mOkEn,Sweden,['Epsilon'],139,3617,89,1.04,1.00
754,dsr,Canada,['subtLe'],212,5438,6,1.0,1.00
755,Relyks,United States,['eUnited'],832,21258,161,1.01,1.00
756,raalz,Denmark,['Lyngby Vikings'],703,18926,124,1.01,1.00
757,REFLEX,Finland,['HAVU'],307,7807,119,1.02,1.00
758,tricky,Russia,['Trident'],261,6839,111,1.02,1.00
759,Carcass,Lithuania,['1337HUANIA'],223,5736,29,1.01,1.00
760,Andkilde,Denmark,['Copenhagen Flames'],145,3672,47,1.02,1.00
761,fenvicious,Russia,['Unique'],729,19059,141,1.01,1.00
762,curry,United States,['Triumph'],258,6792,-44,0.99,1.00
763,Djoko,France,['DBL PONEY'],268,6973,43,1.01,1.00
764,R0b3n,Latvia,['Unique'],525,13824,246,1.03,1.00
765,knight,Brazil,['TShow'],121,3200,7,1.0,1.00
766,mch,Brazil,['TeamOne'],352,9046,300,1.05,1.00
767,glace,Denmark,['North Academy'],589,15307,366,1.04,1.00
768,Whindanski,United Kingdom,['exceL'],131,3369,32,1.01,1.00
769,Oderus,United States,['Spacestation'],473,12356,-52,0.99,1.00
770,almazer,Russia,['forZe'],1268,34119,623,1.03,1.00
771,Meddo,Sweden,['fnatic Academy'],151,3901,106,1.04,1.00
772,1uke,Russia,['Spirit Academy'],623,16179,223,1.02,1.00
773,DaneJoris,United States,['Third Impact'],193,4993,36,1.01,1.00
774,Edward,Ukraine,['Natus Vincere'],1473,38787,689,1.03,1.00
775,ableJ,Brazil,['FURIA'],372,9544,299,1.05,1.00
776,dzt,Brazil,['Imperial'],665,17229,169,1.01,1.00
777,Straka,Argentina,['Isurus'],315,7959,-10,1.0,1.00
778,kenzor,Ukraine,['pro100'],596,15585,70,1.01,1.00
779,reversive,Argentina,['Isurus'],547,14267,222,1.02,1.00
780,ImpressioN,Singapore,['BOOT-d[S]'],614,15862,93,1.01,1.00
781,bnwGiggs,Thailand,['Signature'],355,9111,-41,0.99,1.00
782,k1Ng0r,Serbia,['RESISTANCE'],358,9126,56,1.01,1.00
783,LATINOBOMBEN,Denmark,['Great Danes'],119,3129,-20,0.99,1.00
784,ALLE,Brazil,['Havan Liberty'],302,7966,85,1.02,1.00
785,jitter,United States,['Secret Club'],163,4314,-26,0.99,1.00
786,supra,Estonia,['Gambit Youngsters'],501,13473,85,1.01,1.00
787,hazed,United States,['CLG'],736,19138,-81,0.99,1.00
788,dOBRIY,Belarus,['GoodJob'],203,5323,46,1.01,1.00
789,waterfaLLZ,Russia,['Quantum Bellator Fire'],789,20704,110,1.01,1.00
790,Wolffe,United States,['RBG'],144,3888,32,1.01,1.00
791,cbbk,Thailand,['Lucid Dream'],404,10342,163,1.02,1.00
792,RoLEX,Thailand,['Signature'],490,12554,37,1.0,1.00
793,KILLDREAM,Portugal,['AlienTech'],429,11159,-16,1.0,1.00
794,xiaosaGe,China,['5POWER'],835,22018,18,1.0,1.00
795,HEAP,Sweden,['Dignitas'],208,5664,45,1.01,1.00
796,wizard,Australia,['Kings'],260,6628,30,1.01,1.00
797,Basso,Denmark,['Copenhagen Flames'],582,15218,265,1.03,1.00
798,hyskeee,Latvia,['Wolsung'],177,4556,127,1.04,1.00
799,zeff,Korea,['MVP PK'],482,12229,54,1.01,1.00
800,thamlike,Denmark,['Lyngby Vikings'],170,4538,124,1.04,1.00
